(-0.9891727,1.706134,0.005999088);(-0.7211187,0.7948306,-0.05894768);(0.718893,-0.07204726,0.03426474,0.6905274);
(-0.989973,1.70564,0.007151365);(-0.7211063,0.7948908,-0.05887007);(0.7187567,-0.07194564,0.03153231,0.6908098);
(-0.9912371,1.705401,0.008004724);(-0.7211159,0.7949411,-0.05885029);(0.7183864,-0.07264205,0.03034711,0.6911753);
(-0.9932221,1.704985,0.009613216);(-0.7210288,0.7949554,-0.05865001);(0.7178545,-0.06874513,0.02641776,0.6922868);
(-0.9956473,1.705183,0.01098269);(-0.7208312,0.7948989,-0.05828452);(0.7174194,-0.05973074,0.0205046,0.6937734);
(-0.9991757,1.704797,0.01281893);(-0.7206472,0.7948306,-0.05797458);(0.7176185,-0.05159805,0.01532252,0.6943534);
(-1.000219,1.70426,0.01324838);(-0.720641,0.7948415,-0.05795454);(0.7176238,-0.05141932,0.01464842,0.6943758);
(-1.002201,1.70337,0.0142386);(-0.7204164,0.7947329,-0.05761598);(0.717549,-0.04164416,0.009841871,0.6951923);
(-1.002314,1.702755,0.01430988);(-0.7204114,0.7947389,-0.05760228);(0.717481,-0.04132904,0.009452112,0.6952868);
(-1.003073,1.701239,0.01497853);(-0.7202826,0.7946758,-0.05741763);(0.7174981,-0.03601539,0.006835468,0.6955948);
(-1.002787,1.700545,0.01534247);(-0.720176,0.79463,-0.05726503);(0.7174217,-0.03151844,0.004495848,0.6959113);
(-1.004527,1.697454,0.01697868);(-0.719871,0.7945685,-0.05680131);(0.7146275,-0.01729683,-0.002813473,0.6992856);
(-1.004916,1.695041,0.01707208);(-0.7195886,0.7945557,-0.05637025);(0.7118818,-0.004637287,-0.01072527,0.7022023);
(-1.005326,1.693274,0.01659143);(-0.7192635,0.7945257,-0.05591475);(0.7123218,0.01088177,-0.02203037,0.7014228);
(-1.005423,1.692097,0.01611197);(-0.7189652,0.7944652,-0.0555421);(0.7128987,0.02280308,-0.03309099,0.7001145);
(-1.00533,1.690302,0.01472843);(-0.718285,0.7946346,-0.05459259);(0.7088804,0.04457451,-0.06865069,0.7005633);
(-1.00595,1.687548,0.01239216);(-0.717076,0.7949079,-0.05317305);(0.6892497,0.08862658,-0.1089405,0.7107828);
(-1.006866,1.686115,0.01128471);(-0.7161566,0.7954553,-0.05212044);(0.661674,0.1067141,-0.1220993,0.7320461);
(-1.007611,1.685068,0.01045799);(-0.7157392,0.7958135,-0.05165291);(0.6408731,0.1207135,-0.1297385,0.7469122);
(-1.01089,1.680439,0.006531836);(-0.7133642,0.7985559,-0.04944637);(0.5276867,0.1764165,-0.1548949,0.8163527);
(-1.010932,1.678874,0.004033445);(-0.7126102,0.7999116,-0.04891847);(0.4754314,0.1914645,-0.149674,0.8455201);
(-1.011879,1.674067,-0.001169681);(-0.7116536,0.8026682,-0.04851963);(0.3693694,0.22792,-0.1225646,0.8925226);
(-1.012013,1.664575,-0.01065385);(-0.7113265,0.8062476,-0.04905557);(0.2062856,0.2751214,-0.0495858,0.9377077);
(-1.013124,1.659447,-0.01719141);(-0.7114762,0.8081254,-0.04978155);(0.1000159,0.3312746,0.01712876,0.9380623);
(-1.015467,1.657831,-0.01831424);(-0.711305,0.8085345,-0.04988552);(0.06889417,0.3475902,0.03333528,0.9345177);
(-1.020183,1.655753,-0.02216887);(-0.7118691,0.8093662,-0.05053543);(0.00181463,0.3710169,0.08078074,0.9251041);
(-1.024145,1.653215,-0.0234785);(-0.7113726,0.809976,-0.05063467);(-0.01981664,0.38989,0.0435674,0.9196167);
(-1.025808,1.653537,-0.0230931);(-0.7108383,0.8100495,-0.05044842);(-0.007460833,0.3984031,0.05131803,0.9157432);
(-1.02643,1.65341,-0.02305544);(-0.7107521,0.8104435,-0.05063832);(-0.01081275,0.3871628,0.03125263,0.921418);
(-1.027547,1.653533,-0.02157926);(-0.7108538,0.8104503,-0.05068403);(-0.002170978,0.383295,0.05079571,0.9222255);
(-1.032041,1.653247,-0.01565993);(-0.7111327,0.8104638,-0.05080988);(0.008536202,0.3595497,0.01933587,0.9328864);
(-1.034534,1.651137,-0.01287746);(-0.7113599,0.8105337,-0.05095243);(0.01826449,0.347256,0.01695739,0.9374391);
(-1.037628,1.645691,-0.006026506);(-0.7113947,0.8105568,-0.05098225);(0.02596578,0.3467653,-0.002123223,0.93759);
(-1.040747,1.63396,0.01181937);(-0.7117555,0.8104655,-0.0510961);(0.04950484,0.3093926,-0.005753815,0.9496275);
(-1.043747,1.625252,0.02879971);(-0.7563677,1.297004,0.2302954);(0.05456754,0.1441711,0.03290099,0.9874992);
(-1.048995,1.615781,0.04911644);(-0.8202556,1.245435,0.274714);(0.1101638,0.0619714,0.04913522,0.990762);
(-1.056689,1.606815,0.06981968);(-0.9017987,1.226361,0.3160681);(0.1151941,-0.05582255,0.05760284,0.990099);
(-1.062505,1.600899,0.08590268);(-0.9514796,1.248399,0.3497522);(0.08310297,-0.1146415,0.04610627,0.9888505);
(-1.065097,1.598994,0.09109949);(-0.9628205,1.264408,0.3627372);(0.06503533,-0.1276793,0.03573862,0.9890354);
(-1.068198,1.601105,0.09751403);(-0.9710834,1.28242,0.3756158);(0.04508587,-0.1407517,0.0270349,0.9886482);
(-1.070171,1.606947,0.1007337);(-0.9709686,1.288971,0.3815601);(0.0297065,-0.1389501,0.02223772,0.9896039);
(-1.072377,1.612269,0.1044444);(-0.9673878,1.290378,0.3850925);(0.03232086,-0.1319151,-0.0003077039,0.9907339);
(-1.077516,1.630598,0.1136265);(-0.9505762,1.285366,0.3990623);(0.04895861,-0.1188804,-0.03569809,0.9910581);
(-1.077657,1.633886,0.1152564);(-0.9468497,1.283089,0.4011499);(0.04201172,-0.1140286,-0.008494607,0.9925523);
(-1.077765,1.638005,0.1205273);(-0.9377478,1.278966,0.4083884);(0.076544,-0.1173304,-0.003271136,0.9901333);
(-1.073455,1.644308,0.1313763);(-0.9178572,1.300518,0.4298692);(0.04728614,-0.1170007,-0.01637888,0.9918702);
(-1.070533,1.646262,0.1365535);(-0.9106834,1.31558,0.441727);(0.02695466,-0.1159509,-0.008950513,0.9928488);
(-1.066764,1.647327,0.1414538);(-0.904394,1.333478,0.4556792);(0.003380641,-0.1110748,0.009610839,0.9937598);
(-1.061252,1.648576,0.1479806);(-0.9005377,1.361152,0.4757038);(-0.01631869,-0.1254652,0.006728768,0.991941);
(-1.05055,1.659133,0.1682497);(-0.8932853,1.428923,0.515356);(-0.07952806,-0.1334918,0.01224191,0.9877781);
(-1.041703,1.664989,0.1818832);(-0.8867016,1.461851,0.5401721);(-0.1247904,-0.1521173,0.01317132,0.9803643);
(-1.037968,1.667475,0.1875677);(-0.8837057,1.466226,0.5517714);(-0.1411794,-0.153031,0.0330542,0.9775262);
(-1.030164,1.671235,0.199144);(-0.8778619,1.465688,0.5834382);(-0.1236094,-0.1364542,0.07089056,0.9803445);
(-1.02437,1.674639,0.2096996);(-0.8852192,1.482666,0.6116911);(-0.1336348,-0.1383624,0.1119743,0.9749151);
(-1.025305,1.681093,0.2203147);(-0.9133884,1.535133,0.6255032);(-0.1751386,-0.1766309,0.1446185,0.9577127);
(-1.028803,1.683319,0.2230856);(-0.9455078,1.597026,0.6386291);(-0.215653,-0.1937182,0.1711219,0.9416392);
(-1.042642,1.687046,0.2202517);(-0.9970944,1.6726,0.6613941);(-0.2240323,-0.1926967,0.1776018,0.9386879);
(-1.047914,1.688191,0.2193518);(-1.012264,1.685089,0.663584);(-0.2319037,-0.1906006,0.201385,0.932382);
(-1.05984,1.690644,0.2175143);(-1.04836,1.702992,0.6647379);(-0.2587708,-0.1722803,0.2562704,0.91525);
(-1.0908,1.696383,0.2166054);(-1.136755,1.711443,0.6606246);(-0.259326,-0.2140777,0.2853928,0.8974807);
